,level,order,adjacency_matrix,solution,nodes_to_traverse
10,4,10,"   A B C D E F G H I J K L
 A 0 3 4 0 0 2 0 0 0 0 0 0
 B 3 0 0 0 0 0 0 0 0 0 0 0
 C 4 0 0 2 0 0 0 0 0 0 0 0
 D 0 0 2 0 5 0 0 0 0 0 0 0
 E 0 0 0 5 0 0 0 0 0 0 0 0
 F 2 0 0 0 0 0 4 0 0 0 0 1
 G 0 0 0 0 0 4 0 5 0 2 3 0
 H 0 0 0 0 0 0 5 0 2 0 0 0
 I 0 0 0 0 0 0 0 2 0 0 0 0
 J 0 0 0 0 0 0 2 0 0 0 0 0
 K 0 0 0 0 0 0 3 0 0 0 0 3
 L 0 0 0 0 0 1 0 0 0 0 3 0",A -> F -> G -> J,"('A', 'J')"
11,4,6,"   A B C D E F G H I J K
 A 0 4 0 5 0 0 3 0 0 0 0
 B 4 0 5 0 0 0 0 0 0 0 0
 C 0 5 0 0 0 0 0 0 0 0 0
 D 5 0 0 0 2 0 0 0 0 0 0
 E 0 0 0 2 0 5 0 4 0 0 0
 F 0 0 0 0 5 0 0 0 0 0 5
 G 3 0 0 0 0 0 0 0 0 0 0
 H 0 0 0 0 4 0 0 0 3 0 0
 I 0 0 0 0 0 0 0 3 0 3 0
 J 0 0 0 0 0 0 0 0 3 0 1
 K 0 0 0 0 0 5 0 0 0 1 0",A -> D -> E -> F,"('A', 'F')"
12,5,12,"   A B C D E F G H I J K L M N O P
 A 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 B 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
 C 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0
 D 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0
 E 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 F 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0
 G 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0
 H 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0
 I 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
 J 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0
 K 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0
 L 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1
 M 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0
 N 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0
 O 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1
 P 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0",A -> E -> F -> G -> H -> L -> P,"('A', 'P')"
13,5,8,"   A B C D E F G H I
 A 0 1 0 1 0 0 0 0 0
 B 1 0 1 0 1 0 0 0 0
 C 0 1 0 0 0 1 0 0 0
 D 1 0 0 0 1 0 1 0 0
 E 0 1 0 1 0 1 0 1 0
 F 0 0 1 0 1 0 0 0 1
 G 0 0 0 1 0 0 0 1 0
 H 0 0 0 0 1 0 1 0 1
 I 0 0 0 0 0 1 0 1 0",A -> D -> E -> F -> I,"('A', 'I')"
14,5,8,"   A B C D E F G H I
 A 0 1 0 1 0 0 0 0 0
 B 1 0 1 0 0 0 0 0 0
 C 0 1 0 0 0 1 0 0 0
 D 1 0 0 0 1 0 1 0 0
 E 0 0 0 1 0 1 0 1 0
 F 0 0 1 0 1 0 0 0 1
 G 0 0 0 1 0 0 0 1 0
 H 0 0 0 0 1 0 1 0 1
 I 0 0 0 0 0 1 0 1 0",A -> D -> E -> F -> I,"('A', 'I')"
15,6,6,"   A B C D E F G H I
 A 0 1 0 3 0 0 0 0 0
 B 1 0 2 0 2 0 0 0 0
 C 0 2 0 0 0 2 0 0 0
 D 3 0 0 0 1 0 2 0 0
 E 0 2 0 1 0 3 0 1 0
 F 0 0 2 0 3 0 0 0 1
 G 0 0 0 2 0 0 0 2 0
 H 0 0 0 0 1 0 2 0 1
 I 0 0 0 0 0 1 0 1 0",A -> B -> E -> H -> I,"('A', 'I')"
16,6,6,"   A B C D E F G H I
 A 0 4 0 2 0 0 0 0 0
 B 4 0 4 0 3 0 0 0 0
 C 0 4 0 0 0 3 0 0 0
 D 2 0 0 0 0 0 4 0 0
 E 0 3 0 0 0 3 0 0 0
 F 0 0 3 0 3 0 0 0 1
 G 0 0 0 4 0 0 0 3 0
 H 0 0 0 0 0 0 3 0 4
 I 0 0 0 0 0 1 0 4 0",A -> B -> E -> F -> I,"('A', 'I')"
17,6,12,"   A B C D E F G H I J K L M N O P
 A 0 4 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 B 4 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
 C 0 2 0 5 0 0 4 0 0 0 0 0 0 0 0 0
 D 0 0 5 0 0 0 0 3 0 0 0 0 0 0 0 0
 E 1 0 0 0 0 2 0 0 4 0 0 0 0 0 0 0
 F 0 0 0 0 2 0 4 0 0 0 0 0 0 0 0 0
 G 0 0 4 0 0 4 0 5 0 0 5 0 0 0 0 0
 H 0 0 0 3 0 0 5 0 0 0 0 5 0 0 0 0
 I 0 0 0 0 4 0 0 0 0 2 0 0 4 0 0 0
 J 0 0 0 0 0 0 0 0 2 0 0 0 0 4 0 0
 K 0 0 0 0 0 0 5 0 0 0 0 2 0 0 1 0
 L 0 0 0 0 0 0 0 5 0 0 2 0 0 0 0 4
 M 0 0 0 0 0 0 0 0 4 0 0 0 0 5 0 0
 N 0 0 0 0 0 0 0 0 0 4 0 0 5 0 5 0
 O 0 0 0 0 0 0 0 0 0 0 1 0 0 5 0 3
 P 0 0 0 0 0 0 0 0 0 0 0 4 0 0 3 0",A -> E -> F -> G -> K -> O -> P,"('A', 'P')"
18,7,12,"   A B C D E F G H I J K L M N O P
 A 0 2 0 0 3 0 0 0 0 0 0 0 0 0 0 0
 B 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
 C 0 0 0 2 0 0 3 0 0 0 0 0 0 0 0 0
 D 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
 E 0 0 0 0 0 1 0 0 4 0 0 0 0 0 0 0
 F 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 G 0 0 0 0 0 0 0 3 0 0 4 0 0 0 0 0
 H 0 0 0 0 0 0 3 0 0 0 0 3 0 0 0 0
 I 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0
 J 0 0 0 0 0 4 0 0 4 0 0 0 0 0 0 0
 K 0 0 0 0 0 0 0 0 0 3 0 0 0 0 2 0
 L 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 2
 M 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0
 N 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0
 O 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
 P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0",A -> B -> C -> D -> H -> L -> P,"('A', 'P')"
19,7,10,"   A B C D E F G H I J K L M N O P
 A 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 B 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0
 C 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 D 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0
 E 5 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0
 F 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0
 G 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0
 H 0 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0
 I 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0
 J 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0
 K 0 0 0 0 0 0 1 0 0 0 0 4 0 0 0 0
 L 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
 M 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0
 N 0 0 0 0 0 0 0 0 0 4 0 0 0 0 1 0
 O 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0
 P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0",A -> B -> F -> J -> K -> L -> P,"('A', 'P')"
20,7,5,"   A B C D E F G H I
 A 0 1 0 1 0 0 0 0 0
 B 0 0 5 0 0 0 0 0 0
 C 0 0 0 0 0 1 0 0 0
 D 0 0 0 0 0 0 1 0 0
 E 0 5 0 2 0 0 0 0 0
 F 0 0 0 0 1 0 0 0 1
 G 0 0 0 0 0 0 0 2 0
 H 0 0 0 0 4 0 0 0 5
 I 0 0 0 0 0 0 0 0 0",A -> B -> C -> F -> I,"('A', 'I')"
21,8,14,"   A B C D E F G H I J K L M N O P
 A 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 B 5 0 5 0 0 5 0 0 0 0 0 0 0 0 0 0
 C 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 D 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
 E 1 0 0 0 0 5 0 0 1 0 0 0 0 0 0 0
 F 0 0 0 0 0 0 4 0 0 5 0 0 0 0 0 0
 G 0 0 5 0 0 0 0 0 0 0 1 0 0 0 0 0
 H 0 0 0 3 0 0 4 0 0 0 0 0 0 0 0 0
 I 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 J 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0
 K 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0
 L 0 0 0 0 0 0 0 2 0 0 4 0 0 0 0 2
 M 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0
 N 0 0 0 0 0 0 0 0 0 2 0 0 5 0 0 0
 O 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2
 P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0",No possible path from A to P,"('A', 'P')"
22,8,10,"   A B C D E F G H I J K L M N O P
 A 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 B 5 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 C 0 5 0 3 0 0 0 0 0 0 0 0 0 0 0 0
 D 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0
 E 3 0 0 0 0 5 0 0 1 0 0 0 0 0 0 0
 F 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 G 0 0 0 0 0 5 0 5 0 0 0 0 0 0 0 0
 H 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 I 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0
 J 0 0 0 0 0 4 0 0 0 0 4 0 0 0 0 0
 K 0 0 0 0 0 0 2 0 0 0 0 4 0 0 2 0
 L 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0
 M 0 0 0 0 0 0 0 0 4 0 0 0 0 1 0 0
 N 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 O 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 5
 P 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0",No possible path from A to P,"('A', 'P')"
23,8,6,"   A B C D E F G H I
 A 0 1 0 3 0 0 0 0 0
 B 0 0 5 0 0 0 0 0 0
 C 0 0 0 0 0 0 0 0 0
 D 0 0 0 0 0 0 0 0 0
 E 0 0 0 0 0 1 0 1 0
 F 0 0 5 0 0 0 0 0 0
 G 0 0 0 2 0 0 0 5 0
 H 0 0 0 0 0 0 0 0 2
 I 0 0 0 0 0 3 0 0 0",No possible path from A to I,"('A', 'I')"
24,9,13,"   A B C D E F G H I J K L M
 A 0 0 1 0 0 1 0 1 0 0 0 0 0
 B 0 0 0 0 0 0 0 0 1 0 0 1 0
 C 1 0 0 1 1 0 1 0 0 0 0 1 0
 D 0 0 1 0 0 1 0 0 0 0 0 0 0
 E 0 0 1 0 0 1 1 0 0 0 0 1 0
 F 1 0 0 1 1 0 0 0 1 0 0 1 0
 G 0 0 1 0 1 0 0 0 0 0 0 1 0
 H 1 0 0 0 0 0 0 0 1 0 1 0 0
 I 0 1 0 0 0 1 0 1 0 0 0 0 1
 J 0 0 0 0 0 0 0 0 0 0 1 0 0
 K 0 0 0 0 0 0 0 1 0 1 0 0 1
 L 0 1 1 0 1 1 1 0 0 0 0 0 1
 M 0 0 0 0 0 0 0 0 1 0 1 1 0",This is not a valid eulerian graph,0
25,9,11,"   A B C D E F G H I J K
 A 0 1 0 0 0 0 1 0 1 0 0
 B 1 0 1 1 1 1 0 1 0 0 0
 C 0 1 0 1 0 0 0 1 0 1 0
 D 0 1 1 0 1 0 0 1 0 0 0
 E 0 1 0 1 0 1 1 0 0 0 0
 F 0 1 0 0 1 0 0 0 0 0 0
 G 1 0 0 0 1 0 0 0 0 0 0
 H 0 1 1 1 0 0 0 0 1 0 0
 I 1 0 0 0 0 0 0 1 0 1 1
 J 0 0 1 0 0 0 0 0 1 0 0
 K 0 0 0 0 0 0 0 0 1 0 0",This is a valid eulerian graph,0
26,9,14,"   A B C D E F G H I J K L M N
 A 0 1 0 1 0 1 0 0 0 0 0 0 0 0
 B 1 0 1 0 0 0 1 0 0 0 0 1 1 1
 C 0 1 0 1 0 0 0 0 0 0 0 0 0 0
 D 1 0 1 0 1 0 0 0 0 1 0 0 0 0
 E 0 0 0 1 0 1 0 0 0 0 0 0 0 0
 F 1 0 0 0 1 0 1 1 0 0 0 1 0 1
 G 0 1 0 0 0 1 0 1 0 0 0 1 0 0
 H 0 0 0 0 0 1 1 0 1 0 1 0 0 0
 I 0 0 0 0 0 0 0 1 0 1 0 0 0 0
 J 0 0 0 1 0 0 0 0 1 0 0 0 0 0
 K 0 0 0 0 0 0 0 1 0 0 0 1 1 0
 L 0 1 0 0 0 1 1 0 0 0 1 0 1 1
 M 0 1 0 0 0 0 0 0 0 0 1 1 0 1
 N 0 1 0 0 0 1 0 0 0 0 0 1 1 0",This is a valid eulerian graph,2
27,10,8,"   A B C D E F G H I J
 A 0 1 0 0 2 0 3 0 0 5
 B 1 0 3 4 0 0 0 0 0 0
 C 0 3 0 0 0 0 0 0 0 0
 D 0 4 0 0 0 0 0 0 0 0
 E 2 0 0 0 0 2 0 0 0 0
 F 0 0 0 0 2 0 0 0 0 0
 G 3 0 0 0 0 0 0 1 0 0
 H 0 0 0 0 0 0 1 0 3 0
 I 0 0 0 0 0 0 0 3 0 4
 J 5 0 0 0 0 0 0 0 4 0","Path from A to I: A -> G -> H -> I
Path from I to J: I -> J","('A', 'I', 'J')"
28,10,8,"   A B C D E F G H I J K
 A 0 1 3 0 0 0 0 0 1 0 4
 B 1 0 0 0 0 0 0 0 0 0 0
 C 3 0 0 4 0 0 3 2 0 0 0
 D 0 0 4 0 5 0 0 0 0 0 0
 E 0 0 0 5 0 3 0 0 0 0 0
 F 0 0 0 0 3 0 0 0 0 0 0
 G 0 0 3 0 0 0 0 0 0 0 0
 H 0 0 2 0 0 0 0 0 0 0 0
 I 1 0 0 0 0 0 0 0 0 5 0
 J 0 0 0 0 0 0 0 0 5 0 3
 K 4 0 0 0 0 0 0 0 0 3 0","Path from A to B: A -> B
Path from B to K: B -> A -> K","('A', 'B', 'K')"
29,10,14,"   A B C D E F G H I J K L M N O P Q R S
 A 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
 B 3 0 5 3 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 C 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 D 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 E 0 4 0 0 0 5 2 0 0 0 0 0 0 0 0 0 0 0 0
 F 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 G 0 0 0 0 2 0 0 4 0 0 2 5 0 0 0 0 0 0 0
 H 0 0 0 0 0 0 4 0 2 0 0 0 0 0 0 0 0 0 0
 I 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0
 J 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 K 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
 L 0 0 0 0 0 0 5 0 0 0 0 0 5 0 4 0 0 0 0
 M 0 0 0 0 0 0 0 0 0 0 0 5 0 4 0 0 0 0 0
 N 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0
 O 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 2 0 0 0
 P 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0
 Q 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0
 R 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2
 S 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0","Path from A to K: A -> B -> E -> G -> K
Path from K to S: K -> G -> E -> B -> A -> S","('A', 'K', 'S')"
